ICD,Cancer,Number,Uncertainty interval,Crude Rate*,ASR (World)*,Cum. risk**
"C00-97","Allcancers","18078957","[17493000.0-18684500.0]","236.9","197.9","-",
"C33-34","Lung","2093876","[2058040.0-2130340.0]","27.4","22.5","-",
"C50","Breast","2088849","[2003730.0-2177580.0]","55.2","46.3","-",
"C18-21","Colorectum","1849518","Notavailable","24.2","19.7","-",
"C61","Prostate","1276106","[1196550.0-1360950.0]","33.1","29.3","-",
"C16","Stomach","1033701","[1006270.0-1061880.0]","13.5","11.1","-",
"C22","Liver","841080","[817635.0-865198.0]","11.0","9.3","-",
"C15","Oesophagus","572034","[552100.0-592688.0]","7.5","6.3","-",
"C53","Cervixuteri","569847","[545771.0-594985.0]","15.1","13.1","-",
"C73","Thyroid","567233","[535140.0-601251.0]","7.4","6.7","-",
"C67","Bladder","549393","[529899.0-569604.0]","7.2","5.7","-",
"C82-86, C96","Non-Hodgkinlymphoma","509590","[501338.0-517978.0]","6.7","5.7","-",
"C25","Pancreas","458918","[443287.0-475100.0]","6.0","4.8","-",
"C91-95","Leukaemia","437033","[421769.0-452850.0]","5.7","5.2","-",
"C64-65","Kidney","403262","[387315.0-419865.0]","5.3","4.5","-",
"C54","Corpusuteri","382069","[375428.0-388827.0]","10.1","8.4","-",
"C00-06","Lip,oralcavity","354864","[339254.0-371192.0]","4.6","4.0","-",
"C70-72","Brain,centralnervoussystem","296851","[282359.0-312086.0]","3.9","3.5","-",
"C56","Ovary","295414","[280962.0-310609.0]","7.8","6.6","-",
"C43","Melanomaofskin","287723","[277533.0-298288.0]","3.8","3.1","-",
"C23-24","Gallbladder","219420","[207100.0-232473.0]","2.9","2.3","-",
"C32","Larynx","177422","[165998.0-189632.0]","2.3","2.0","-",
"C88+C90","Multiplemyeloma","159985","[151511.0-168933.0]","2.1","1.7","-",
"C11","Nasopharynx","129079","[118849.0-140190.0]","1.7","1.5","-",
"C09-10","Oropharynx","92887","[86015.8-100307.0]","1.2","1.1","-",
"C12-13","Hypopharynx","80608","[72503.2-89618.9]","1.1","0.91","-",
"C81","Hodgkinlymphoma","79990","[72456.8-88306.4]","1.0","0.97","-",
"C62","Testis","71105","[63779.1-79272.4]","1.8","1.7","-",
"C07-08","Salivaryglands","52799","[46826.0-59533.9]","0.69","0.59","-",
"C51","Vulva","44235","[39489.4-49550.9]","1.2","0.88","-",
"C46","Kaposisarcoma","41799","[30936.3-56475.9]","0.55","0.50","-",
"C60","Penis","34475","[28885.9-41145.6]","0.90","0.80","-",
"C45","Mesothelioma","30443","[25882.3-35807.4]","0.40","0.31","-",
"C52","Vagina","17600","[13979.3-22158.5]","0.47","0.37","-",
