Search query: (cancer[Title/Abstract])
Year,Count
2021,4
2020,62977
2019,135342
2018,126435
2017,120859
2016,114851
2015,110507
2014,102971
2013,94251
2012,86641
2011,76961
2010,68427
2009,60337
2008,55929
2007,51531
2006,46405
2005,42710
2004,37986
2003,34088
2002,30862
2001,28407
2000,27024
1999,24405
1998,22310
1997,21021
1996,19702
1995,18060
1994,17228
1993,15380
1992,14569
1991,13221
1990,13384
1989,12766
1988,10862
1987,9899
1986,9261
1985,8680
1984,8133
1983,7238
1982,6316
1981,5931
1980,5558
1979,5153
1978,4629
1977,4324
1976,3884
1975,3615
1974,2486
1973,2140
1972,2358
1971,2399
1970,2339
1969,2286
1968,2258
1967,2189
1966,1911
1965,2314
1964,2534
1963,2183
1962,1858
1961,1747
1960,1626
1959,1591
1958,1584
1957,1699
1956,1783
1955,1756
1954,1603
1953,1649
1952,1731
1951,2056
1950,2169
