Search query: (cancer[Title/Abstract]) AND (mathematical[Title/Abstract] OR computational[Title/Abstract])
Year,Count
2020,768
2019,1666
2018,1373
2017,1267
2016,1109
2015,1022
2014,905
2013,808
2012,670
2011,559
2010,450
2009,413
2008,364
2007,284
2006,243
2005,212
2004,149
2003,123
2002,80
2001,75
2000,50
1999,40
1998,43
1997,41
1996,38
1995,42
1994,29
1993,33
1992,33
1991,30
1990,47
1989,29
1988,23
1987,26
1986,29
1985,19
1984,8
1983,17
1982,16
1981,10
1980,9
1979,18
1978,10
1977,5
1976,4
1975,6
1974,2
1973,3
1971,1
1970,1
1969,3
1968,3
1964,1
