Search query: (cancer[Title/Abstract]) AND (network[Title/Abstract])
Year,Count
2020,2085
2019,4307
2018,3469
2017,2870
2016,2521
2015,2292
2014,2031
2013,1760
2012,1526
2011,1258
2010,992
2009,833
2008,695
2007,628
2006,514
2005,433
2004,414
2003,275
2002,217
2001,179
2000,174
1999,145
1998,131
1997,121
1996,116
1995,88
1994,60
1993,73
1992,50
1991,26
1990,24
1989,27
1988,18
1987,7
1986,17
1985,8
1984,6
1983,14
1982,8
1981,7
1980,7
1979,8
1978,9
1977,4
1976,5
1975,11
1974,1
1973,1
1971,1
1970,1
1969,1
