Search query: (cancer[Title/Abstract]) AND (model[Title/Abstract])
Year,Count
2020,7906
2019,16700
2018,15003
2017,14015
2016,12983
2015,12282
2014,11408
2013,10310
2012,9349
2011,7838
2010,6594
2009,5719
2008,5146
2007,4586
2006,3966
2005,3446
2004,3067
2003,2503
2002,2194
2001,2021
2000,1879
1999,1593
1998,1454
1997,1273
1996,1193
1995,1074
1994,888
1993,845
1992,682
1991,610
1990,583
1989,502
1988,395
1987,401
1986,309
1985,275
1984,266
1983,204
1982,149
1981,125
1980,99
1979,95
1978,75
1977,70
1976,59
1975,52
1974,9
1973,14
1972,7
1971,16
1970,4
1969,7
1968,2
1967,3
1966,2
1965,2
1964,1
1962,1
1961,1
1958,3
1951,1
